link,title_year,budget,country,ExchangeRate
https://www.imdb.com/title/tt0480011/?ref_=fn_tt_tt_1,2007,"£1,800,000 (estimated)",UK,2.002
https://www.imdb.com/title/tt0765443/?ref_=fn_tt_tt_1,2007,"£25,000,000 (estimated)",USA,2.002
https://www.imdb.com/title/tt0448134/?ref_=fn_tt_tt_1,2007,"£26,000,000 (estimated)",UK,2.002
https://www.imdb.com/title/tt0964587/?ref_=fn_tt_tt_1,2007,"£7,000,000 (estimated)",UK,2.002
https://www.imdb.com/title/tt0425112/?ref_=fn_tt_tt_1,2007,"£8,000,000 (estimated)",UK,2.002
https://www.imdb.com/title/tt1155592/?ref_=fn_tt_tt_1,2008,"£1,000,000 (estimated)",UK,1.8545
https://www.imdb.com/title/tt0864761/?ref_=fn_tt_tt_1,2008,"£13,500,000 (estimated)",UK,1.8545
https://www.imdb.com/title/tt0465430/?ref_=fn_tt_tt_1,2008,"£2,500,000 (estimated)",UK,1.8545
https://www.imdb.com/title/tt1097643/?ref_=fn_tt_tt_1,2008,"£6,000,000 (estimated)",UK,1.8545
https://www.imdb.com/title/tt0988849/?ref_=fn_tt_tt_1,2008,"£900,000 (estimated)",UK,1.8545
https://www.imdb.com/title/tt1714210/?ref_=fn_tt_tt_1,2011,"£120,000 (estimated)",UK,1.6043
https://www.imdb.com/title/tt1340800/?ref_=fn_tt_tt_1,2011,"£20,000,000 (estimated)",France,1.6043
https://www.imdb.com/title/tt1687901/?ref_=fn_tt_tt_1,2011,"£3,000,000 (estimated)",UK,1.6043
https://www.imdb.com/title/tt1788391/?ref_=fn_tt_tt_1,2011,"£500,000 (estimated)",UK,1.6043
https://www.imdb.com/title/tt1655420/?ref_=fn_tt_tt_1,2011,"£6,400,000 (estimated)",UK,1.6043
https://www.imdb.com/title/tt0857190/?ref_=fn_tt_tt_1,2012,"£3,000,000 (estimated)",UK,1.5853
https://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,2012,"£4,000,000 (estimated)",UK,1.5853
https://www.imdb.com/title/tt1709143/?ref_=fn_tt_tt_1,2013,"£7,000,000 (estimated)",UK,1.5642
https://www.imdb.com/title/tt2473794/?ref_=fn_tt_tt_1,2014,"£8,200,000 (estimated)",UK,1.6484
https://www.imdb.com/title/tt4333662/?ref_=fn_tt_tt_1,2015,"£400,000 (estimated)",UK,1.5284
https://www.imdb.com/title/tt0094625/?ref_=fn_tt_tt_1,1988,"´1,100,000,000 (estimated)",Japan,0.007801882
https://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1,1997,"´2,400,000,000 (estimated)",Japan,0.008260496
https://www.imdb.com/title/tt0451094/?ref_=fn_tt_tt_1,2005,"_4,200,000,000 (estimated)",South Korea,0.000976802
https://www.imdb.com/title/tt0468492/?ref_=fn_tt_tt_1,2006,"_12,215,500,000 (estimated)",South Korea,0.001047865
https://www.imdb.com/title/tt1153040/?ref_=fn_tt_tt_1,2009,"_10,000,000 (estimated)",South Korea,0.000784544
https://www.imdb.com/title/tt0281364/?ref_=fn_tt_tt_1,2001,"Û15,300,000 (estimated)",France,0.8952
https://www.imdb.com/title/tt0161860/?ref_=fn_tt_tt_1,2001,"Û7,000,000 (estimated)",Germany,0.8952
https://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,2002,"Û5,300,000 (estimated)",France,0.9454
https://www.imdb.com/title/tt0283832/?ref_=fn_tt_tt_1,2002,"Û8,000,000 (estimated)",France,0.9454
https://www.imdb.com/title/tt0314412/?ref_=fn_tt_tt_1,2003,"Û2,000,000 (estimated)",Spain,1.1321
https://www.imdb.com/title/tt0338095/?ref_=fn_tt_tt_1,2003,"Û2,200,000 (estimated)",France,1.1321
https://www.imdb.com/title/tt0301357/?ref_=fn_tt_tt_1,2003,"Û4,800,000 (estimated)",Germany,1.1321
